----------------------------------------------------------------------------------------------------------------
|        Flight no.         |       Separate with       |       Separate date       |       Separate time       |
|          MRU277           |          UCM815,          |        19-04-2018         |         15:59:37          |
|          YVC206           |          BGM356,          |        19-04-2018         |         15:53:30          |
|          QEM058           |          MKY863,          |        19-04-2018         |         16:00:35          |
|          MKY863           |          QEM058,          |        19-04-2018         |         16:00:35          |
|          UCM815           |          OCQ567,          |        19-04-2018         |         16:00:48          |
|          OCQ567           |          UCM815,          |        19-04-2018         |         16:00:48          |
|          KGJ618           |          GYK604,          |        19-04-2018         |         16:00:55          |
|          GYK604           |          KGJ618,          |        19-04-2018         |         16:00:55          |
|          GRB542           |          TKC471,          |        19-04-2018         |         16:01:30          |
|          TKC471           |          GRB542,          |        19-04-2018         |         16:01:30          |
|          KGJ618           |          AMD508,          |        19-04-2018         |         16:01:32          |
|          AMD508           |          KGJ618,          |        19-04-2018         |         16:01:32          |
|          YXD658           |          AGJ265,          |        19-04-2018         |         16:01:35          |
|          AGJ265           |          YXD658,          |        19-04-2018         |         16:01:35          |
|          PKS728           |          MRU277,          |        19-04-2018         |         16:01:46          |
|          MRU277           |          PKS728,          |        19-04-2018         |         16:01:46          |
|          PKS728           |          MRU277,          |        19-04-2018         |         16:01:47          |
|          MRU277           |          PKS728,          |        19-04-2018         |         16:01:47          |
|          PKS728           |          MRU277,          |        19-04-2018         |         16:01:58          |
|          MRU277           |          PKS728,          |        19-04-2018         |         16:01:58          |
|          OHE855           |          SMD884,          |        19-04-2018         |         16:01:58          |
|          SMD884           |          OHE855,          |        19-04-2018         |         16:01:58          |
|          SEK713           |          JWY081,          |        19-04-2018         |         16:02:03          |
|          JWY081           |          SEK713,          |        19-04-2018         |         16:02:03          |
|          HVP222           |          AAK813,          |        19-04-2018         |         16:03:24          |
|          AAK813           |          HVP222,          |        19-04-2018         |         16:03:24          |
|          AVY668           |          JHL731,          |        19-04-2018         |         16:04:07          |
|          JHL731           |          AVY668,          |        19-04-2018         |         16:04:07          |
|          OLA231           |          VBE001,          |        19-04-2018         |         16:05:32          |
|          VBE001           |          OLA231,          |        19-04-2018         |         16:05:32          |
|          LPN405           |          ERB887,          |        19-04-2018         |         16:06:27          |
|          ERB887           |          LPN405,          |        19-04-2018         |         16:06:27          |
|          OLL465           |          YXD658,          |        19-04-2018         |         16:06:54          |
|          YXD658           |          OLL465,          |        19-04-2018         |         16:06:54          |
|          JBP628           |          HVP222,          |        19-04-2018         |         16:09:38          |
|          HVP222           |          JBP628,          |        19-04-2018         |         16:09:38          |
|          ONJ323           |          NRD065,          |        19-04-2018         |         16:10:53          |
|          NRD065           |          ONJ323,          |        19-04-2018         |         16:10:53          |
|          MXF617           |          VQE730,          |        19-04-2018         |         16:11:42          |
|          VQE730           |          MXF617,          |        19-04-2018         |         16:11:42          |
|          MXF617           |          VQE730,          |        19-04-2018         |         16:11:43          |
|          VQE730           |          MXF617,          |        19-04-2018         |         16:11:43          |
|          VJB504           |          CGC666,          |        19-04-2018         |         16:13:51          |
|          CGC666           |          VJB504,          |        19-04-2018         |         16:13:51          |
|          HOU573           |          CMX027,          |        19-04-2018         |         16:14:02          |
|          CMX027           |          HOU573,          |        19-04-2018         |         16:14:02          |
|          HOU573           |          CMX027,          |        19-04-2018         |         16:14:03          |
|          CMX027           |          HOU573,          |        19-04-2018         |         16:14:03          |
|          ISU173           |          FOG141,          |        19-04-2018         |         16:14:35          |
|          FOG141           |          ISU173,          |        19-04-2018         |         16:14:35          |
|          BLF706           |          TSY772,          |        19-04-2018         |         16:15:01          |
|          TSY772           |          BLF706,          |        19-04-2018         |         16:15:01          |
|          APX167           |          FMO166,          |        19-04-2018         |         16:16:43          |
|          FMO166           |          APX167,          |        19-04-2018         |         16:16:43          |
|          YQH804           |          APX167,          |        19-04-2018         |         16:18:46          |
|          APX167           |          YQH804,          |        19-04-2018         |         16:18:46          |
|          FGG461           |          JQG274,          |        19-04-2018         |         16:19:18          |
|          JQG274           |          FGG461,          |        19-04-2018         |         16:19:18          |
|          FGG461           |          UQC275,          |        19-04-2018         |         16:20:32          |
|          UQC275           |          FGG461,          |        19-04-2018         |         16:20:32          |
|          VHP275           |          FTM024,          |        19-04-2018         |         16:22:48          |
|          FTM024           |          VHP275,          |        19-04-2018         |         16:22:48          |
